run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-15-20250723-17:38:46-8912,runattr,,,configname,General,,
General-15-20250723-17:38:46-8912,runattr,,,datetime,20250723-17:38:46,,
General-15-20250723-17:38:46-8912,runattr,,,datetimef,20250723-173846,,
General-15-20250723-17:38:46-8912,runattr,,,experiment,General,,
General-15-20250723-17:38:46-8912,runattr,,,inifile,omnetpp.ini,,
General-15-20250723-17:38:46-8912,runattr,,,iterationvars,,,
General-15-20250723-17:38:46-8912,runattr,,,iterationvarsd,,,
General-15-20250723-17:38:46-8912,runattr,,,iterationvarsf,,,
General-15-20250723-17:38:46-8912,runattr,,,measurement,,,
General-15-20250723-17:38:46-8912,runattr,,,network,RGG,,
General-15-20250723-17:38:46-8912,runattr,,,processid,8912,,
General-15-20250723-17:38:46-8912,runattr,,,repetition,15,,
General-15-20250723-17:38:46-8912,runattr,,,replication,#15,,
General-15-20250723-17:38:46-8912,runattr,,,resultdir,results,,
General-15-20250723-17:38:46-8912,runattr,,,runnumber,15,,
General-15-20250723-17:38:46-8912,runattr,,,seedset,15,,
General-15-20250723-17:38:46-8912,config,,,network,RGG,,
General-15-20250723-17:38:46-8912,config,,,seed-set,15,,
General-15-20250723-17:38:46-8912,config,,,num-rngs,1,,
General-15-20250723-17:38:46-8912,config,,,sim-time-limit,10s,,
General-15-20250723-17:38:46-8912,config,,,repeat,50,,
General-18-20250723-17:38:46-8950,runattr,,,configname,General,,
General-18-20250723-17:38:46-8950,runattr,,,datetime,20250723-17:38:46,,
General-18-20250723-17:38:46-8950,runattr,,,datetimef,20250723-173846,,
General-18-20250723-17:38:46-8950,runattr,,,experiment,General,,
General-18-20250723-17:38:46-8950,runattr,,,inifile,omnetpp.ini,,
General-18-20250723-17:38:46-8950,runattr,,,iterationvars,,,
General-18-20250723-17:38:46-8950,runattr,,,iterationvarsd,,,
General-18-20250723-17:38:46-8950,runattr,,,iterationvarsf,,,
General-18-20250723-17:38:46-8950,runattr,,,measurement,,,
General-18-20250723-17:38:46-8950,runattr,,,network,RGG,,
General-18-20250723-17:38:46-8950,runattr,,,processid,8950,,
